Organization Code	Organization Name	Location Code	Location Name	Street	City	State	Zip	Phone	Fax
 AMMO	 American Medical Administrators - MO	 AandM	" A&M - McPherson Medical & Diagnostic, LLC"	" 304 Teaco Road, Suite A"	 Kennett	 Missouri	63857	5737171072	
 AMMO	 American Medical Administrators - MO	 AMMMDRT	" A&M - RHC - McPherson Medical & Diagnostic, LLC"	" 304 Teaco Road, Suite A"	 Kennett	 Missouri	63857		
 AMMO	 American Medical Administrators - MO	 AandMSC	" A&M Specialty Clinic - McPherson Medical & Diagnostic, LLC"	" 304 Teaco Road, Suite C"	 Kennett	 Missouri	63857		
 AMMO	 American Medical Administrators - MO	 APRCF	 Ambrose Park Residential Care Facility	 517 Oak Street	 Cole Camp	 Missouri	65325		
 AMMO	 American Medical Administrators - MO	 AMMOALGY	 AMMO Allergy	 901 W Commercial Avenue	 Kennett	 Missouri	31210		
 AMMO	 American Medical Administrators - MO	 AMMOHCTX	 AMMO HC  Lab Texas	" 16922 Telge Rd, Suite 2G"	 Cypress	 Texas	77429		
 AMMO	 American Medical Administrators - MO	 AMMOLAB	 AMMO LAB	 3071 Grand Ave	 Carthage	 Missouri	64836		
 AMMO	 American Medical Administrators - MO	 AEL	 Analytical Edge Laboratories	 120 NE 26th Street	 Oklahoma City	 Oklahoma	73105		
 AMMO	 American Medical Administrators - MO	 AELAOB	 Analytical Edge Laboratories - Advanced OBGYN	 120 NE 26th Street	 Oklahoma City	 Oklahoma	73105		
 AMMO	 American Medical Administrators - MO	 AHRE	 Anew Healthcare & Rehab of Easton	 515 Dawson Street	 Easton	 Kansas	66020		
 AMMO	 American Medical Administrators - MO	 AHRN	 Anew Healthcare & Rehab of Nortonville	 412 E Walnut Street	 Nortonville	 Kansas	66060		
 AMMO	 American Medical Administrators - MO	 AHRO	 Anew Healthcare & Rehab of Odessa	 609 Golf Street	 Odessa	 Missouri	64076		
 AMMO	 American Medical Administrators - MO	 AHRS	 Anew Healthcare & Rehab of Sarcoxie	 1505 Miner Street	 Sarcoxie	 Missouri	64862		
 AMMO	 American Medical Administrators - MO	 AHB	 Anew Healthcare of Brookfield	 215 E Pratt Street	 Brookfield	 Missouri	64628		
 AMMO	 American Medical Administrators - MO	 AHP	 Anew Healthcare of Pleasanton	 706 W 15th Street	 Pleasanton	 Kansas	66075		
 AMMO	 American Medical Administrators - MO	 AandF	 Ankle & Foot Institute	" 1011 Bowles Avenue, Suite #123"	 Fenton	 Missouri	63026		
 AMMO	 American Medical Administrators - MO	 BWPNH	 Bernard West Pine Nursing Home	 4335 W Pine Boulevard	 St. Louis	 Missouri	63108		
